id_barrio;barrio;latitud;longitud;ruta_cobro;nom_ruta
26225;NO APLICA;10.969451838553915;-74.80585945625725;;
26226;CEVILLAR;10.958695835418096;-74.80027496774481;BARRANQUILLA 2 - HARISON PEREZ;BAQ SUR 2
26227;LA MAGDALENA;10.943115677300309;-74.79499086782033;BARRANQUILLA 4 - HELMUTH CERVANTES;BAQ ORIENTE
26228;SAN JOSE;10.961381398708857;-74.79607018023482;BARRANQUILLA 1 - NAHIN HERNANDEZ;BAQ ORIENTE
26229;ALBORAYA;10.945958568887871;-74.79785795692703;BARRANQUILLA 2 - HARISON PEREZ;BAQ ORIENTE
26230;LA VICTORIA;10.952673114409084;-74.7995743174615;BARRANQUILLA 2 - HARISON PEREZ;BAQ SUR 2
26231;SANTA MONICA;10.990230006476372;-74.815464398834;;BAQ NORTE
26232;BUENOS AIRES;10.941536492475453;-74.8001948835275;RUTA PROVISIONAL;BAQ SUR
26233;LAS PALMAS;10.946462217281981;-74.79030570573845;BARRANQUILLA 4 - HELMUTH CERVANTES;BAQ ORIENTE
26234;SAN NICOLAS;10.93568651747922;-74.79725810670546;RUTA PROVISIONAL;BAQ ORIENTE
26235;JOSE ANTONIO GALAN;10.9366761156655;-74.79129650971176;BARRANQUILLA 4 - HELMUTH CERVANTES;BAQ ORIENTE
26236;UNIVERSAL;10.941400931454826;-74.78910481901374;BARRANQUILLA 4 - HELMUTH CERVANTES;BAQ ORIENTE
26237;LIMON;10.942523309427681;-74.78783562032555;RUTA PROVISIONAL;BAQ ORIENTE
26238;EL CAMPITO;10.94795137749908;-74.79306217235462;RUTA PROVISIONAL;BAQ ORIENTE
26239;EL CARMEN;10.964846327280325;-74.80027234878077;BARRANQUILLA 1 - NAHIN HERNANDEZ;BAQ SUR 2
26240;SAN ISIDRO;10.970050015145544;-74.79564822096984;BARRANQUILLA 1 - NAHIN HERNANDEZ;BAQ SUR 2
26241;VILLA CAROLINA;10.982953069352336;-74.81073527034324;BARRANQUILLA 1 - NAHIN HERNANDEZ;BAQ NORTE
26242;ALFONSO LOPEZ;10.967212083761664;-74.79450198249049;BARRANQUILLA 2 - HARISON PEREZ;BAQ SUR 2
26243;CHIQUINQUIRA;10.971969217045743;-74.7925914396124;BARRANQUILLA 2 - HARISON PEREZ;BAQ SUR 2
26245;LOS PINOS;10.975171539180566;-74.79948051042128;BARRANQUILLA 1 - NAHIN HERNANDEZ;BAQ SUR 2
26246;SIMON BOLIVAR;10.943533652625614;-74.7800912808844;BARRANQUILLA 4 - HELMUTH CERVANTES;SOLEDAD
26247;LUCERO;10.977473887264301;-74.79692724105858;BARRANQUILLA 1 - NAHIN HERNANDEZ;BAQ SUR 2
